#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 2001
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace |Z| (Ohm)	Trace Rs (Ohm)	Trace Xs (Ohm)
1111.229188556152	-89.35206824203773	-89.37958473383867	21643.13057226867	234.3534955956819	-21641.86173616708
1111.839761257505	-89.29034193356175	-89.3178735444905	21619.70678547851	257.3841513413074	-21618.17464284864
1112.450669442327	-89.37144819226134	-89.39899493062524	21594.76353719306	226.5144913685081	-21593.57551246396
1113.061913294953	-89.34378795949029	-89.37134983360119	21581.43298666038	236.787060772474	-21580.13395800785
1113.673492999817	-89.27827818563919	-89.30585520381351	21564.12988112573	261.245461685599	-21562.54735273196
1114.285408741455	-89.37534735112348	-89.40293952168227	21532.76636433023	224.3818168793849	-21531.5972491844
1114.897660704506	-89.28658527798838	-89.3141926092572	21526.18088290365	257.6535576873098	-21524.63885986702
1115.510249073709	-89.29886370846405	-89.32648620877306	21494.86224862155	252.6670006248737	-21493.37717702854
1116.123174033904	-89.32339470966845	-89.35103238735238	21459.05657139738	243.0534161771109	-21457.68006964681
1116.736435770034	-89.31592036333481	-89.34357322673297	21440.53125481983	245.6346868604481	-21439.12414464539
1117.350034467143	-89.29432988675634	-89.32199794421265	21439.01248584977	253.6898080427186	-21437.51146587955
1117.963970310376	-89.31207366410871	-89.33975692397159	21400.1377306767	246.5972220325916	-21398.71689382376
1118.57824348498	-89.3203937309369	-89.34809220155945	21377.64281626729	243.2282358772254	-21376.25908350609
1119.192854176305	-89.29575025380798	-89.32346394354786	21368.34613152851	252.3069032505369	-21366.85652180454
1119.807802569802	-89.35636028149396	-89.38408919871341	21336.43832961033	229.3552832174999	-21335.20557077726
1120.423088851023	-89.34730339755485	-89.37504755062072	21321.84885744636	232.5629838949435	-21320.58050706661
1121.038713205623	-89.31970030936154	-89.34745970664527	21321.63820529301	242.8263895086242	-21320.2554183098
1121.654675819359	-89.32027365339266	-89.34804830327028	21288.44595797876	242.2296910013523	-21287.06781317191
1122.27097687809	-89.30536171875961	-89.33315162961173	21258.54925179536	247.4162843686733	-21257.10943362804
1122.887616567777	-89.29329634070838	-89.32110152092028	21242.46414425074	251.69635990483	-21240.97294998958
1123.504595074483	-89.31596462033764	-89.34378507829919	21236.45218734864	243.2181264294797	-21235.05937002581
1124.121912584373	-89.3439006646375	-89.37173640874316	21205.20604779906	232.5161127765265	-21203.9312342526
1124.739569283715	-89.30898754899042	-89.33683858763924	21199.34653562279	245.3631806175964	-21197.92656009118
1125.35756535888	-89.32970663929861	-89.35757298089429	21190.1195846208	237.588531618326	-21188.787593918
1125.975900996339	-89.27761152164653	-89.30549317459739	21142.57544161039	256.2719890020088	-21141.02223100482
1126.594576382667	-89.31398950109191	-89.34188647381086	21129.65745276351	242.6951465032702	-21128.2636091324
1127.213591704543	-89.30858261152798	-89.33649491243257	21111.54815647981	244.4736182779303	-21110.13259582546
1127.832947148745	-89.33191711459179	-89.35984475210419	21103.44372980942	235.7800050894193	-21102.1265527063
1128.452642902156	-89.35281601846108	-89.38075900100813	21071.52200307117	227.7322417399535	-21070.2913494803
1129.072679151763	-89.3111685622145	-89.3391268982276	21050.66367281471	242.8016345809066	-21049.26337029887
1129.693056084652	-89.31147257503311	-89.33944627294832	21037.14022457177	242.5283968448284	-21035.74217385779
1130.313773888014	-89.31724216889404	-89.34523123715209	21009.54036947296	240.0890860104101	-21008.16850102104
1130.934832749144	-89.30144505651704	-89.32944950356325	20997.79502341456	245.7381779218648	-20996.35703147679
1131.556232855438	-89.33858783641338	-89.36660767069775	20973.33379014519	231.8509021269906	-20972.05224655014
1132.177974394395	-89.30099792113107	-89.32903315110819	20941.57241328169	245.2323682241032	-20940.13649015441
1132.800057553618	-89.2730370947092	-89.30108772883835	20939.36878108869	255.4187931180214	-20937.81092164493
1133.422482520813	-89.31229318406783	-89.34035923081294	20918.09825308227	240.8227223293032	-20916.71195341212
1134.045249483789	-89.28191786516733	-89.30999933299695	20899.68805568148	251.6843343819942	-20898.17254739327
